-------------------Level 8 ---------------------
id608148;308;322;;
id232206;407;305;;
id575553;269;287;;
id245738;220;253;;
id706054;168;287;;
id388407;168;322;;
id706054;186;218;;
id700418;184;179;;
id343055;-9;364;;
-------------------Level 8 ---------------------
id608148;308;322;;
id232206;407;305;;
id575553;269;287;;
id245738;220;253;;
id706054;168;287;;
id388407;168;322;;
id706054;186;218;;
id700418;184;179;;
id343055;-9;364;;
-------------------Level 9 ---------------------
id536283;311;322;;
id706054;224;322;;
id765555;253;287;;
id974732;332;287;;
id989064;302;253;;
id575553;346;218;;
id812250;305;218;;
id388407;306;184;;
id700418;310;145;;
id343055;-9;364;;
-------------------Level 10 ---------------------
id608148;398;322;;
id974732;295;322;;
id706054;437;287;;
id575553;206;322;;
id388407;206;287;;
id706054;206;253;;
id989064;166;218;;
id388407;127;253;;
id706054;127;287;;
id388407;127;322;;
id700418;142;179;;
id343055;-9;364;;
-------------------Level 11 ---------------------
id608148;223;322;;
id536283;322;322;;
id765555;401;322;;
id706054;302;287;;
id575553;342;287;;
id306421;401;270;;
id604796;302;253;;
id989064;385;218;;
id706054;424;184;;
id388407;385;184;;
id700418;400;145;;
id343055;-9;364;;
-------------------Level 12 ---------------------
id608148;280;322;;
id706054;241;287;;
id197733;302;287;;
id245738;283;253;;
id575553;284;218;;
id388407;323;218;;
id706054;305;184;;
id700418;304;145;;
id343055;-9;364;;
-------------------Level 13 ---------------------
id980825;392;322;;
id575553;333;287;;
id245738;193;322;;
id197733;153;287;;
id765555;233;287;;
id989064;192;253;;
id706054;192;218;;
id388407;192;184;;
id700418;192;145;;
id343055;-9;364;;
-------------------Level 14 ---------------------
id224137;413;305;;
id197733;211;322;;
id706054;147;322;;
id989064;186;287;;
id388407;148;253;;
id575553;189;253;;
id706054;168;218;;
id700418;170;179;;
id343055;-9;364;;
-------------------Level 15 ---------------------
id536283;451;114;;
id572590;151;322;;
id396625;334;304;;
id134254;236;322;;
id134254;50;322;;
id765555;50;287;;
id306421;452;305;;
id245738;512;270;270;
id232206;452;235;;
id765555;452;184;;
id974732;452;149;;
id700418;63;248;;
id343055;-9;364;;
-------------------Level 16 ---------------------
id980825;474;322;;
id245738;204;322;;
id974732;244;287;;
id388407;184;287;;
id269620;145;287;;
id706054;145;253;;
id989064;224;253;;
id765555;165;218;;
id388407;264;218;;
id575553;145;184;;
id245738;244;184;;
id700418;192;145;;
id343055;-9;364;;
-------------------Level 17 ---------------------
id608148;424;322;;
id989064;276;322;;
id245738;256;287;;
id706054;196;322;;
id765555;216;253;;
id706054;277;253;;
id575553;276;218;;
id388407;111;322;;
id269620;72;322;;
id700418;81;283;;
id343055;-9;364;;
-------------------Level 18 ---------------------
id572590;390;322;;
id765555;450;322;;
id245738;419;287;;
id388407;428;253;;
id706054;372;253;;
id134254;96;322;;
id575553;155;322;;
id989064;115;287;;
id388407;111;253;;
id700418;114;214;;
id343055;-9;364;;
-------------------Level 19 ---------------------
id608148;488;322;;
id974732;373;322;;
id765555;286;322;;
id269620;306;287;;
id765555;266;270;90;
id245738;229;218;;
id989064;169;287;90;
id706054;169;184;;
